iter	RMSE
351	0.1147864099
352	0.1147561264
353	0.1147228422
354	0.1146986855
355	0.1146767209
356	0.1146453238
357	0.1146085346
358	0.1145841722
359	0.11454268
360	0.1144416872
361	0.1143972608
362	0.1143710076
363	0.1143525863
364	0.1143271931
365	0.1143075402
366	0.1142974049
367	0.1142679674
368	0.1142553264
369	0.1142289401
370	0.1142022973
371	0.1141758191
372	0.1141368676
373	0.1141164962
374	0.1140688885
375	0.1140437368
376	0.1140060333
377	0.1139728288
378	0.1139570721
379	0.1139299186
380	0.113903655
381	0.1138774169
382	0.1138450449
383	0.1138346899
384	0.1138088844
385	0.113793975
386	0.1137659598
387	0.1137328329
388	0.1137143944
389	0.1136295086
390	0.1135927961
391	0.1135485388
392	0.1135267131
393	0.1135181866
394	0.1134989007
395	0.113453384
396	0.1134375744
397	0.1133663499
398	0.1133421156
399	0.1132722869
400	0.1132602406
401	0.1132105481
402	0.1131852239
403	0.1131661999
404	0.1131358939
405	0.1131208213
406	0.1130968294
407	0.1130819057
408	0.1130625935
409	0.1130432049
410	0.1130222415
411	0.1129932745
412	0.1129569048
413	0.1129120138
414	0.1128909156
415	0.1128731143
416	0.1128511649
417	0.1128345744
418	0.1127809625
419	0.1127513423
420	0.1127385389
421	0.1127219518
422	0.1127049164
423	0.1126871846
424	0.1126695936
425	0.1126332674
426	0.1126172003
427	0.1126005612
428	0.1125625225
429	0.1125297471
430	0.1125148298
431	0.1124912156
432	0.1124696585
433	0.1124547161
434	0.1124347476
435	0.1124095684
436	0.1123859841
437	0.1123604044
438	0.1123384633
439	0.1123191292
440	0.1123031944
441	0.1122866734
442	0.1122664173
443	0.1122464683
444	0.112224242
445	0.1121930851
446	0.1121669759
447	0.1121441992
448	0.1120957626
449	0.112076972
450	0.1120581797
451	0.1120336739
452	0.112014987
453	0.112002934
454	0.1119887938
455	0.1119745555
456	0.1119597615
457	0.1119371604
458	0.1119268324
459	0.1119140759
460	0.1118990669
461	0.1118626267
462	0.1118350424
463	0.1118262909
464	0.1118107716
465	0.1117974291
466	0.1117860191
467	0.1117671538
468	0.1117507848
469	0.1117140082
470	0.1116782568
471	0.111664798
472	0.1116485203
473	0.1116295109
474	0.1115884228
475	0.1115775582
476	0.1115412589
477	0.1115286722
478	0.1115038614
479	0.1114808952
480	0.1114470029
481	0.1114336995
482	0.1113987844
483	0.1113864318
484	0.1113422723
485	0.1113317413
486	0.1113110815
487	0.1112921554
488	0.1112756195
489	0.111266095
490	0.1112544925
491	0.1112400763
492	0.1112233083
493	0.1112015449
494	0.1111803299
495	0.1111662998
496	0.1111533306
497	0.1111244107
498	0.1111111377
499	0.1110998048
500	0.111084563
501	0.1110782977
502	0.1110691153
503	0.1110575762
504	0.1110483447
505	0.1110219421
506	0.1110120809
507	0.1109997251
508	0.1109893785
509	0.110979136
510	0.1109590299
511	0.1109433903
512	0.1109301862
513	0.1109191322
514	0.1109095355
515	0.1108956284
516	0.110887813
517	0.1108598518
518	0.1108505854
519	0.1108410902
520	0.1108140052
521	0.1108045091
522	0.1107952561
523	0.1107788256
524	0.1107642912
525	0.1107563065
526	0.1107396276
527	0.1107264418
528	0.1107150081
529	0.1106713233
530	0.1106526754
531	0.1106397034
532	0.1106067605
533	0.1105783684
534	0.1105532337
535	0.1105333109
536	0.110507275
537	0.1104993638
538	0.1104718934
539	0.1104640302
540	0.1104538984
541	0.1104440234
542	0.1104296923
543	0.1104214131
544	0.1104151499
545	0.1104014316
546	0.1103859523
547	0.1103605625
548	0.1103519678
549	0.1103347912
550	0.1103271344
551	0.1103082219
552	0.1102974188
553	0.1102868032
554	0.1102720101
555	0.1102634977
556	0.1102518165
557	0.1102384144
558	0.1102243903
559	0.1102087234
560	0.110200192
561	0.1101916344
562	0.1101824479
563	0.1101710491
564	0.1101571646
565	0.1101468326
566	0.1101345513
567	0.110125365
568	0.1101075342
569	0.1100856643
570	0.1100469622
571	0.1100344898
572	0.1100208164
573	0.1100004711
574	0.1099930915
575	0.1099740644
576	0.1099653762
577	0.1099555002
578	0.1099466296
579	0.1099295765
580	0.109922875
581	0.1099152104
582	0.109896212
583	0.1098860854
584	0.1098644041
585	0.1098441778
586	0.1098303908
587	0.1098204541
588	0.109809742
589	0.1097988715
590	0.1097918757
591	0.1097821288
592	0.1097723385
593	0.1097667727
594	0.1097469674
595	0.1097348555
596	0.1097272068
597	0.1097185439
598	0.1097076821
599	0.1096900388
600	0.1096815452
601	0.1096547222
602	0.1096399376
603	0.1096322424
604	0.1096084204
605	0.1096009997
606	0.1095929291
607	0.1095788922
608	0.1095604043
609	0.109555197
610	0.1095459067
611	0.1095340411
612	0.1095250069
613	0.1095152456
614	0.10950549
615	0.1094822479
616	0.1094743286
617	0.1094654792
618	0.1094555103
619	0.1094475906
620	0.1094360533
621	0.1094243931
622	0.1094192145
623	0.1094099314
624	0.1093964084
625	0.1093880235
626	0.109380497
627	0.1093606729
628	0.1093410043
629	0.1093291415
630	0.1093168507
631	0.1093086537
632	0.1092956278
633	0.1092851466
634	0.1092760705
635	0.1092647792
636	0.1092485026
637	0.1092372369
638	0.109231225
639	0.109221653
640	0.1092117749
641	0.1091974886
642	0.109185567
643	0.109174954
644	0.109168173
645	0.1091581757
646	0.1091528938
647	0.1091463966
648	0.1091386647
649	0.1091296379
650	0.1091237116
651	0.1091097602
652	0.1091013201
653	0.1090877204
654	0.1090791155
655	0.1090715947
656	0.1090535514
657	0.1090444592
658	0.1090357979
659	0.1090254334
660	0.1090193552
661	0.1090038757
662	0.1089973061
663	0.1089907486
664	0.1089822689
665	0.1089541316
666	0.1089439121
667	0.1089370338
668	0.1089280267
669	0.1089126961
670	0.1088971875
671	0.1088916611
672	0.1088854029
673	0.1088781692
674	0.1088728857
675	0.1088613084
676	0.1088467776
677	0.1088352325
678	0.1088271274
679	0.1087927833
680	0.1087838465
681	0.1087802397
682	0.1087626299
683	0.1087531159
684	0.1087370696
685	0.1087305461
686	0.1087214129
687	0.1087131685
688	0.108695339
689	0.108685818
690	0.1086782669
691	0.1086693136
692	0.1086631436
693	0.1086473829
694	0.1086411621
695	0.1086334256
696	0.108625317
697	0.1086204196
698	0.1086099155
699	0.1086003738
700	0.1085940527
701	0.1085864342
702	0.1085777792
703	0.108563912
704	0.1085563905
705	0.1085498605
706	0.1085433632
707	0.1085312629
708	0.1085225978
709	0.1085159124
710	0.1085044448
711	0.1084982918
712	0.1084927409
713	0.1084832937
714	0.108474613
715	0.1084661242
716	0.1084590525
717	0.1084496911
718	0.1084373219
719	0.1084301322
720	0.1084125437
721	0.1084073298
722	0.108399972
723	0.1083907912
724	0.1083857275
725	0.1083786146
726	0.1083718878
727	0.1083635395
728	0.1083568066
729	0.1083482474
730	0.1083199445
731	0.1083137282
732	0.1083072033
733	0.1082879181
734	0.1082829726
735	0.1082760719
736	0.1082689891
737	0.1082616655
738	0.1082550544
739	0.1082490648
740	0.108239664
741	0.108234473
742	0.1082284925
743	0.1082200277
744	0.1082150567
745	0.1082059068
746	0.1081999074
747	0.1081899663
748	0.1081833275
749	0.1081770957
750	0.1081716444
751	0.1081674354
752	0.1081617274
753	0.1081530715
754	0.1081384063
755	0.1081335755
756	0.1081179091
757	0.10811202
758	0.1081052601
759	0.1080969808
760	0.1080927774
761	0.1080878418
762	0.1080721602
763	0.1080669124
764	0.1080604843
765	0.1080557381
766	0.1080493019
767	0.1080432276
768	0.1080360128
769	0.1080286421
770	0.1080176687
771	0.1080128671
772	0.108001502
773	0.1079953772
774	0.1079835162
775	0.1079720559
776	0.1079581202
777	0.107952753
778	0.1079477109
779	0.1079372192
780	0.1079245588
781	0.107908834
782	0.107905569
783	0.1079014417
784	0.1078965654
785	0.1078914613
786	0.1078820135
787	0.1078749871
788	0.1078610614
789	0.1078537563
790	0.1078401099
791	0.1078280699
792	0.1078102707
793	0.1078053443
794	0.1078002225
795	0.107788835
796	0.107783981
797	0.1077786025
798	0.1077710745
799	0.107765887
800	0.1077600954
801	0.1077564979
802	0.1077477965
803	0.1077399862
804	0.1077269414
805	0.1077207917
806	0.1077128328
807	0.1077086576
808	0.1077037254
809	0.1076946906
810	0.1076821364
811	0.1076721118
812	0.1076675217
813	0.1076620927
814	0.1076498928
815	0.1076448259
816	0.1076398082
817	0.1076349636
818	0.1076263698
819	0.1076172466
820	0.1076116503
821	0.1076054543
822	0.1075888788
823	0.1075814411
824	0.1075746765
825	0.1075690119
826	0.1075603223
827	0.107555839
828	0.1075496828
829	0.1075436634
830	0.1075316259
831	0.1075235686
832	0.1075148162
833	0.1075094411
834	0.1074869426
835	0.1074755222
836	0.1074716991
837	0.1074653436
838	0.1074590156
839	0.1074525723
840	0.1074470992
841	0.107440079
842	0.1074355685
843	0.1074306929
844	0.1074246129
845	0.1074148494
846	0.1074092277
847	0.1074046041
848	0.1073995263
849	0.1073941207
850	0.1073879154
851	0.1073831809
852	0.1073790893
853	0.1073635401
854	0.1073594765
855	0.1073523552
856	0.1073441603
857	0.1073351069
858	0.1073291522
859	0.1073212985
860	0.1073129656
861	0.1073077963
862	0.10730368
863	0.1072972064
864	0.107292019
865	0.1072845305
866	0.1072795137
867	0.1072736851
868	0.1072628776
869	0.1072572855
870	0.107252383
871	0.1072479262
872	0.1072406419
873	0.1072364314
874	0.1072311441
875	0.1072214431
876	0.107215683
877	0.1072095285
878	0.107198433
879	0.1071925741
880	0.1071850535
881	0.1071809689
882	0.1071766914
883	0.1071710052
884	0.107161259
885	0.1071567385
886	0.1071516693
887	0.1071473201
888	0.1071416756
889	0.1071334256
890	0.1071221641
891	0.1070960254
892	0.1070900093
893	0.1070852288
894	0.1070758662
895	0.1070727864
896	0.1070692585
897	0.1070570782
898	0.1070416036
899	0.1070363381
900	0.1070281709
901	0.1070236178
902	0.1070124858
903	0.1070043158
904	0.1069913979
905	0.1069865073
906	0.106969322
907	0.1069658135
908	0.1069596139
909	0.1069559328
910	0.106938778
911	0.1069313798
912	0.1069276621
913	0.1069238774
914	0.1069155695
915	0.1069099266
916	0.1068892482
917	0.1068833128
918	0.1068792958
919	0.1068739534
920	0.1068694883
921	0.1068579411
922	0.106848639
923	0.1068424159
924	0.1068386504
925	0.106830509
926	0.1068254831
927	0.1068215972
928	0.1068152824
929	0.1068109681
930	0.1068015425
931	0.1067934036
932	0.1067868514
933	0.1067835242
934	0.1067786044
935	0.1067733365
936	0.106769144
937	0.1067635656
938	0.1067592923
939	0.1067402837
940	0.1067371372
941	0.1067240517
942	0.106719491
943	0.1067143724
944	0.1067091941
945	0.1067056516
946	0.1067007278
947	0.1066923165
948	0.1066762
949	0.1066686337
950	0.1066640639
951	0.1066602597
952	0.1066523629
953	0.1066420062
954	0.106635427
955	0.1066290205
956	0.106624042
957	0.106618257
958	0.106614037
959	0.1066103773
960	0.1065942548
961	0.1065896943
962	0.106584432
963	0.1065801762
964	0.1065753474
965	0.1065728275
966	0.1065694096
967	0.1065632871
968	0.1065573103
969	0.1065519039
970	0.1065462068
971	0.1065427216
972	0.106535131
973	0.1065303661
974	0.1065223646
975	0.1065114113
976	0.1065056984
977	0.1064979423
978	0.1064928138
979	0.1064863013
