iter	Passed	Remaining
660	3854	1976
661	3860	1970
662	3865	1964
663	3871	1959
664	3877	1953
665	3883	1947
666	3889	1941
667	3894	1935
668	3900	1929
669	3906	1923
670	3911	1917
671	3917	1912
672	3923	1906
673	3928	1900
674	3934	1894
675	3939	1888
676	3945	1882
677	3951	1876
678	3956	1870
679	3962	1864
680	3968	1858
681	3974	1853
682	3979	1847
683	3985	1841
684	3991	1835
685	3996	1829
686	4002	1823
687	4008	1817
688	4013	1811
689	4019	1805
690	4024	1799
691	4030	1793
692	4036	1788
693	4041	1781
694	4047	1776
695	4053	1770
696	4058	1764
697	4065	1758
698	4070	1752
699	4076	1747
700	4082	1741
701	4088	1735
702	4093	1729
703	4099	1723
704	4105	1717
705	4110	1711
706	4116	1705
707	4121	1699
708	4127	1694
709	4132	1687
710	4137	1681
711	4143	1676
712	4149	1670
713	4154	1664
714	4161	1658
715	4167	1653
716	4173	1647
717	4179	1641
718	4184	1635
719	4190	1629
720	4195	1623
721	4200	1617
722	4207	1611
723	4212	1605
724	4217	1599
725	4223	1593
726	4228	1587
727	4233	1581
728	4239	1575
729	4244	1569
730	4249	1563
731	4255	1557
732	4260	1551
733	4265	1545
734	4270	1539
735	4275	1533
736	4280	1527
737	4286	1521
738	4291	1515
739	4297	1509
740	4302	1503
741	4308	1497
742	4313	1492
743	4319	1486
744	4324	1480
745	4330	1474
746	4336	1468
747	4341	1462
748	4347	1456
749	4352	1450
750	4357	1444
751	4363	1439
752	4368	1433
753	4374	1427
754	4379	1421
755	4384	1415
756	4390	1409
757	4395	1403
758	4401	1397
759	4407	1391
760	4412	1385
761	4417	1379
762	4423	1374
763	4429	1368
764	4434	1362
765	4440	1356
766	4445	1350
767	4451	1344
768	4457	1338
769	4462	1333
770	4469	1327
771	4474	1321
772	4480	1315
773	4486	1310
774	4493	1304
775	4499	1298
776	4505	1292
777	4510	1287
778	4517	1281
779	4523	1275
780	4529	1270
781	4536	1264
782	4542	1258
783	4548	1253
784	4554	1247
785	4560	1241
786	4566	1235
787	4571	1229
788	4577	1224
789	4583	1218
790	4588	1212
791	4594	1206
792	4599	1200
793	4604	1194
794	4609	1188
795	4615	1182
796	4621	1177
797	4627	1171
798	4632	1165
799	4637	1159
800	4643	1153
801	4648	1147
802	4654	1141
803	4659	1135
804	4664	1129
805	4670	1124
806	4676	1118
807	4681	1112
808	4688	1106
809	4694	1101
810	4700	1095
811	4705	1089
812	4711	1083
813	4716	1077
814	4722	1071
815	4727	1066
816	4733	1060
817	4738	1054
818	4743	1048
819	4749	1042
820	4754	1036
821	4761	1031
822	4766	1025
823	4772	1019
824	4778	1013
825	4783	1007
826	4789	1002
827	4795	996
828	4801	990
829	4807	984
830	4813	978
831	4819	973
832	4824	967
833	4829	961
834	4835	955
835	4841	949
836	4846	943
837	4852	938
838	4857	932
839	4862	926
840	4868	920
841	4874	914
842	4880	909
843	4888	903
844	4893	897
845	4899	891
846	4904	886
847	4910	880
848	4916	874
849	4922	868
850	4927	862
851	4933	856
852	4939	851
853	4944	845
854	4950	839
855	4955	833
856	4961	827
857	4966	821
858	4971	816
859	4976	810
860	4981	804
861	4987	798
862	4992	792
863	4998	786
864	5003	780
865	5009	775
866	5014	769
867	5019	763
868	5024	757
869	5030	751
870	5036	745
871	5041	740
872	5047	734
873	5052	728
874	5059	722
875	5065	716
876	5070	711
877	5076	705
878	5081	699
879	5087	693
880	5092	687
881	5097	682
882	5103	676
883	5108	670
884	5113	664
885	5119	658
886	5127	653
887	5134	647
888	5144	642
889	5154	637
890	5165	631
891	5174	626
892	5179	620
893	5185	614
894	5193	609
895	5199	603
896	5206	597
897	5212	592
898	5217	586
899	5225	580
900	5230	574
901	5238	569
902	5244	563
903	5250	557
904	5258	551
905	5264	546
906	5272	540
907	5278	534
908	5285	529
909	5291	523
910	5296	517
911	5302	511
912	5308	505
913	5313	499
914	5319	494
915	5324	488
916	5329	482
917	5335	476
918	5340	470
919	5345	464
920	5350	458
921	5356	453
922	5362	447
923	5368	441
924	5373	435
925	5378	429
926	5385	424
927	5390	418
928	5396	412
